pdf_filename,nanomaterial_types,nanomaterial_names,primary_nanomaterial,primary_nano_type,particle_size_nm,particle_size_range,zeta_potential_mV,pzc_value,tumor_types,primary_tumor_type,injection_methods,primary_injection_method,injection_dose_mg_kg,injection_frequency,ultrasound_frequency_MHz,ultrasound_power_W_cm2,treatment_time_min,treatment_sessions,ros_generation,cell_viability_percent,cell_death_percent,tumor_volume_mm3,has_size_data,has_zeta_data,has_ultrasound_data,has_ros_data,has_viability_data,has_volume_data,data_completeness_score,correction_notes,corrected_primary_nanomaterial,corrected_primary_nano_type,corrected_particle_size_nm,corrected_zeta_potential_mV,corrected_pzc_value,corrected_primary_tumor_type,corrected_primary_injection_method,corrected_injection_dose_mg_kg,corrected_injection_frequency,corrected_ultrasound_frequency_MHz,corrected_ultrasound_power_W_cm2,corrected_treatment_time_min,corrected_treatment_sessions,corrected_ros_generation,corrected_cell_viability_percent,corrected_cell_death_percent,corrected_tumor_volume_mm3
An ATP-responsive ZIF-based NIR fluorescence nanosystem for enhanced chemo-photodynamic therapy of tumors.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,22.90909090909091,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Ultrasmall Barium Titanate Nanoparticles for Highly Efficient Hypoxic Tumor Therapy via Ultrasound Triggered Piezocatalysis and Water Splitting.pdf,"nanoparticle, nanorod, nanotube, nanocrystal","MnO2, RuS",MnO2,nanoparticle,,,,,,,"intravenous, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,10.0,,1.0,1.0,,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
A Triple-Responsive Polymeric Prodrug Nanoplatform with Extracellular ROS Consumption and Intracellular H2O2 Self-Generation for Imaging-Guided Tumor Chemo-Ferroptosis-Immunotherapy.pdf,"nanoparticle, nanocrystal","Fe2O3, AuS",Fe2O3,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,,40.0,3.0,,,,,no,no,yes,no,no,no,1,"Adjusted size, zeta potential, PZC value, primary tumor type, injection dose, ultrasound frequency, power, and treatment time from context.",Fe2O3,nanoparticle,,,,,intravenous,,3.0,,,40.0,3.0,,,,
Safe and Targeted Sonodynamic Cancer Therapy Using Biocompatible Exosome-Based Nanosonosensitizers.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,0.4142857142857143,81.45,,,90.0,10.0,,no,no,yes,no,yes,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Ce6-DNAzyme-Loaded Metal-Organic Framework Theranostic Agents for Boosting miRNA Imaging-Guided Photodynamic Therapy in Breast Cancer..pdf,"nanoparticle, nanocrystal","AuS, AlN",AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,13.3,3.0,,0.4,12.307692307692308,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Metal–Organic-Framework-Derived Carbon NanostructureAugmented Sonodynamic Cancer Therapy.pdf,,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,99.27272727272728,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Cetuximab-Ag2S quantum dots for fluorescence imaging and highly effective combination of ALA-based photodynamic chemo-therapy of colorectal cancer cells.pdf,nanocrystal,,,nanocrystal,,,,,colon_cancer,colon_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,9.93939393939394,,,55.0,45.0,,no,no,yes,no,yes,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Piezoelectric Metal–Organic Frameworks Based Sonosensitizer for Enhanced Nanozyme Catalytic and Sonodynamic Therapies.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,1.0,,5.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Oxygen-Deficient BiOCl Combined withL-Buthionine-Sulfoximine Synergistically SuppressesTumor Growth through Enhanced Singlet OxygenGeneration under Ultrasound Irradiation.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,7.230769230769231,,2.5,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Chemiluminescence resonance energy transfer-based immunostimulatory  nanoparticles for sonoimmunotherapy.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,31.6,2.0,18.0,,19.11111111111111,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Near-infrared Zn-doped Cu2S quantum dots: an ultrasmall theranostic agent for tumor cell imaging and chemodynamic therapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,27.5,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Synergistic Gas Therapy and Targeted InterventionalAblation With Size-Controllable Arsenic Sulﬁde (As 2 S3 )Nanoparticles for Eﬀective Elimination of Localized CancerPain.pdf,"nanoparticle, nanocrystal",CuS,CuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,10.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Laser-triggered aggregated cubic α-Fe2O3@Au nanocomposites for magnetic resonance imaging and photothermal enhanced radiation synergistic therapy.pdf,"nanoparticle, nanocrystal",Fe2O3,Fe2O3,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,1.9,8.5,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Fe-Polyphenol Self-Assembled Nanoplatform for Sonodynamic Ferroptosis-Autophagy Inhibition Synergistic Tumor Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.1428571428571428,1.7142857142857142,13.333333333333334,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Hafnium (Hf)-Chelating Porphyrin-Decorated Gold Nanosensitizers for Enhanced Radio−Radiodynamic Therapy of Colon Carcinoma.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,20.0,2.0,,,19.0,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Versatile Nanodrugs Containing Glutathione and HemeOxygenase 1 Inhibitors Enable Suppression of AntioxidantDefense System in a Two-Pronged Manner for EnhancedPhotodynamic Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,8.933333333333334,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Tumor-Targeting Near-Infrared Dimeric HeptamethineCyanine Photosensitizers with an Aromatic Diphenol Linkerfor Imaging-Guided Cancer Phototherapy.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,600.0,,10.904761904761903,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Piezodynamic Therapy: Unleashing Mechanical Energy and Featuristic Next Generation Therapeutic Paradigms for Glioblastoma.pdf,nanocrystal,CuS,CuS,nanocrystal,,,,,glioma,glioma,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intracerebral, intradermal",intravenous,18.375,3.0,0.9708571428571428,1.3571428571428572,22.0,,46080462.0,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Coordination Self-Assembled AuTPyP-Cu Metal−Organic Framework Nanosheets with pH-Ultrasound Dual-Responsiveness for Synergistically Triggering Cuproptosis Augmented Chemotherapy.pdf,nanocrystal,CuO,CuO,nanocrystal,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,10.0,2.0,1.0,1.2,17.916666666666668,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Integration of Silica Nanorattles with Manganese-Doped In2S3 InOOH to Enable Ultrasound-Mediated Tumor Theranostics.pdf,"nanoparticle, nanocrystal",SiO2,SiO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,11.25,5.0,1.0555555555555556,1.1428571428571428,14.904761904761903,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Nanotransferrin-Based Programmable Catalysis Mediates Three-Pronged Induction of Oxidative Stress to Enhance Cancer Immunotherapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,,,,,,no,no,no,no,no,no,0,Skipped: Model failed,,,,,,,,,,,,,,,,,
Albumin Modulated Homodimer as an EﬃcientPhotosensitizer for Long-Term Imaging-Guided TumorTherapy Directed with Sunlight Irradiation.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,liver_cancer,liver_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,313.0,,20.625,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
A versatile nanoplatform carrying cascade Pt nanozymes remodeling tumor microenvironment for amplified sonodynamic chemo therapy of thyroid cancer.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,thyroid_cancer,thyroid_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,8.4,3.0,1.0,1.2142857142857142,11.96774193548387,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
A Robust ROS Generation and Ferroptotic Lipid ModulationNanosystem for Mutual Reinforcement of Ferroptosis andCancer Immunotherapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,,,,,,no,no,no,no,no,no,0,Skipped: Model failed,,,,,,,,,,,,,,,,,
Harnessing the Cancer Radiation Therapy by Lanthanide-Doped Zinc Oxide Based Theranostic Nanoparticles.pdf,"nanoparticle, nanocrystal",ZnO,ZnO,nanoparticle,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,17.5,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Core−Satellite Nanoassembly Overcomes Spatial Heterogeneity of Dendric Cell Distribution in Pancreatic Tumors for Effective Chemoimmunotherapy.pdf,nanocrystal,AlN,AlN,nanocrystal,,,,,pancreatic_cancer,pancreatic_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,40.0,,100.75,2.0,21.666666666666668,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
MOF-Derived Double-Layer Hollow Nanoparticles with OxygenGeneration Ability for Multimodal Imaging-Guided SonodynamicTherapy.pdf,"nanoparticle, nanocrystal","SiO2, AuS",SiO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,1035.2857142857142,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Ultrasound-Triggered Piezocatalysis for Selectively Controlled NO Gas and Chemodrug Release to Enhance Drug Penetration in Pancreatic Cancer.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,47.03846153846154,,6.117647058823529,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Cycloacceleration of Reactive Oxygen Species GenerationBased on Exceedingly Small Magnetic Iron OxideNanoparticles for Tumor Ferroptosis Therapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,,,,,,no,no,no,no,no,no,0,Skipped: Model failed,,,,,,,,,,,,,,,,,
Modulation of Intratumoral Fusobacterium nucleatum to Enhance Sonodynamic Therapy for Colorectal Cancer with Reduced Phototoxic Skin Injury.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,12.0,2.0,1.0,3.2222222222222223,17.714285714285715,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
Oxygen Vacancy Defect-Induced Activity Enhancement of Gd Doping Magnetic Nanocluster for Oxygen Supplying Cancer Theranostics.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,3.0,,,,240.0,2.0,14.0,,,,no,no,yes,yes,no,no,2,Skipped: Model failed,,,,,,,,,,,,,,,,,
Hierarchical Responsive Nanoplatform with Two-Photon Aggregation-Induced Emission Imaging for Efficient Cancer Theranostics.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,,,,,,no,no,no,no,no,no,0,Skipped: Model failed,,,,,,,,,,,,,,,,,
“US-detonated nano bombs” facilitate targeting treatment of resistant breast cancer.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,10.833333333333334,2.0,,1.0,15.7,,,,,,no,no,yes,no,no,no,1,Skipped: Model failed,,,,,,,,,,,,,,,,,
