PMID,Title,Abstract,Journal,PubDate,status,DOI
40948474,Piezodynamic Therapy: Unleashing Mechanical Energy and Featuristic Next Generation Therapeutic Paradigms for Glioblastoma.,"Glioblastoma (GBM), the most lethal primary brain tumor in adults, is characterized by extensive infiltration, marked heterogeneity, and resistance to conventional therapies. The blood-brain barrier (BBB) impedes effective drug delivery; therefore, recent advancements in energy-based therapies have introduced innovative approaches to overcome these challenges. These include focused ultrasound, tumor-treating fields, magnetomechanical actuation, and triboelectric stimulation to transiently disrupt the BBB and facilitate targeted treatment. Piezodynamic therapy has emerged as a key strategy, using piezoelectric nanomaterials to convert mechanical stimuli into reactive oxygen species (ROS) and immunogenic signals, inducing localized oxidative stress and immune activation. This approach is complemented by nanogas-based technologies, which enhance spatiotemporal control over ROS generation through ultrasound-driven piezocatalysis. Novel 3D-bioprinted GBM models provide patient-specific platforms for optimizing these therapies and investigating piezodynamic effects in realistic tumor environments. Concurrently, implantable smart devices enable real-time modulation of mechanical stimuli, improving treatment precision. Tumor vaccines also play a complementary role by amplifying systemic anti-GBM immune responses. Challenges such as nanoparticle biocompatibility, precise regulation of physical stimuli, and clinical translation persist. This review evaluates the existing energy-based multimodal treatments and integration of piezodynamic therapy with nanogas technologies, 3D bioprinting, and immune-stimulating vaccines, highlighting their potential as a featuristic strategy to overcome GBM's therapeutic resistance.",ACS nano,2025,downloaded,10.1021/acsnano.5c11629
40905947,Ultrasound-Mediated Piezocatalysis Triggers NO Release to Augment Targeted Immunotherapy of Pancreatic Cancer.,"Although immune checkpoint inhibitor-based immunotherapy has shown clinical efficacy in various cancer types, its efficacy in pancreatic cancer remains limited. This limitation is primarily attributed to the dense stromal tumor microenvironment (TME) and highly immunosuppressive TME of pancreatic cancer. The dense stromal TME forms a physical barrier that severely hinders the penetration and accumulation of therapeutic agents and immune cells. Additionally, it collaborates with the immunosuppressive TME to weaken immune responses against tumors. To overcome these challenges, a piezoelectric nanoparticle system, BTO@BAL, was developed, which combined piezoelectric nanomaterial barium titanate (BTO), a targeting peptide, and an amphiphilic prodrug molecule. The prodrug molecule is composed of a small-molecule PD-L1 inhibitor (BMS1166) and a nitric oxide (NO) donor (Arg)9, linked by a thioketal bond. Upon ultrasound (US)-triggered piezocatalysis, BTO continuously generated reactive oxygen species (ROS) in the hypoxic TME. On the one hand, ROS oxidized (Arg)9 to release NO, which degraded the dense stromal barrier of pancreatic cancer, remodeled the TME, improved tumor mechanical properties, and reduced stiffness. Combined with the targeted peptide, this strategy synergistically improved drug delivery efficiency. Furthermore, the combined action of ROS and NO enhanced the immunogenicity of pancreatic cancer, promoting the activation and maturation of local dendritic cells, thereby strengthening antitumor immune responses. On the other hand, ROS induced thioketal bond cleavage to release BMS1166, effectively down-regulating PD-L1 expression on KPC cells, reshaping the immunosuppressive TME of pancreatic cancer, and further amplifying the efficacy of immunotherapy. This strategy integrated US-triggered piezocatalysis with gas therapy, greatly enhancing pancreatic cancer immunotherapy and offering a theoretical foundation for developing tumor theranostic platforms.",ACS nano,2025,downloaded,10.1021/acsnano.5c10301.s001
40856492,Orally Deliverable Engineered Porphyrin Nanohybrids Activate the cGAS-STING Axis and Enable Fusobacterium-Specific Targeting for Robust Immune Remodeling and Colorectal Cancer Regression.,"The susceptibility of colorectal cancer (CRC) cells to Fusobacterium nucleatum (F. nucleatum) infection pose significant challenges to CRC treatment and prevention. This study addresses these challenges by mobilizing cGAS/STING axis activation and F. nucleatum-specific targeting, thereby achieving a multimodal treatment strategy for reversing the immunosuppressive microenvironment (ITM) and achieving targeted anti-F. nucleatum therapy. Specifically, a hybrid nanoplatform CuPpIX@HM was engineered using Escherichia coli and tumor cell membranes encapsulating ultrasound (US) stimulation-responsive copper protoporphyrin IX (CuPpIX). This design enables the precise accumulation of the nanoplatform at tumor sites following oral administration. Notably, upon US activation, CuPpIX generates a high level of reactive oxygen species (ROS), selectively eradicating F. nucleatum and exerting potent antitumor effects. Meanwhile, bacterial membrane components activate the cGAS/STING signaling pathway, effectively reversing the ITM, enhancing systemic antitumor immunity. Importantly, CuPpIX@HM exerts minimal disruption to healthy intestinal microbiota and remarkably increases the level of probiotics. In both orthotopic and liver metastasis, CRC models demonstrated that this strategy could significantly inhibit tumor growth and metastasis. Collectively, our study presents a highly targeted multimodal nanotherapy that holds strong potential to improve CRC treatment outcomes through the precision modulation of F. nucleatum and immune activation.",ACS applied materials & interfaces,2025,downloaded,10.1021/acsami.5c09122.s001
40815269,Catalase enzyme-modified carbon quantum dot nanoparticles with hypoxia alleviation associated with indocyanine green for synchronous augmented photodynamic therapy and cell imaging of melanoma.,"The aim of this study was to synthesize carbon quantum dot nanoparticles (CQD NPs) with a high quantum yield and conjugate them with the enzyme catalase (CAT) for cell imaging and photodynamic therapy (PDT) applications. CQDs were synthesized by a hydrothermal method and purified with a novel method to obtain a high quantum yield. Indocyanine green (ICG) was loaded on the CQDs as a suitable photosensitizer for PDT, and CAT was applied to generate oxygen at the tumor site. Then, the efficacy of the synthesized NPs for photodynamic therapy (PDT) and cell imaging of melanoma cancer cells was investigated under in vitro, ex vivo and in vivo conditions. Characterization results confirmed that the hydrodynamic size of the CAT-ICG@CQD particles was about 51.3 nm. In addition, analysis to detect reactive oxygen species (ROS) demonstrated that free ICG's ROS generation capacity increased significantly (26%) after combining with CAT. Moreover, cell culture assessments revealed that CAT-ICG@CQD could decrease melanoma cell viability by up to 15.66%, with laser illumination in a simulated tumor microenvironment resulting in higher cellular uptake, sustained release and a higher ROS generation capacity in comparison to free ICG. Cell imaging analysis illustrated high fluorescence intensity of ICG in the cytoplasm for CAT-ICG@CQD, confirming its high quantum yield and enhanced cellular uptake of ICG compared to free ICG. An in vivo study on C57BL/6 mice with melanomas revealed that CAT-ICG@CQD exhibits superior tumor growth inhibition through tumor oxygenation, indicating efficient PDT enabled by hypoxia alleviation. The outcome of the present study provided a novel nanoplatform for ameliorating tumor hypoxia, which meets the demands of melanoma PDT due to the high ROS generation efficiency and cell imaging capabilities.",Nanoscale,2025,downloaded,10.1039/d5nr02133b
40761027,Ce6-DNAzyme-Loaded Metal-Organic Framework Theranostic Agents for Boosting miRNA Imaging-Guided Photodynamic Therapy in Breast Cancer.,"Breast cancer remains a leading cause of mortality among women globally, underscoring the critical need for effective theranostic strategies. MicroRNA-21 (miR-21) imaging-guided photodynamic therapy (PDT) has attracted significant attention in recent years due to its selectivity and sensitivity toward breast cancer. However, key challenges remain, particularly regarding the low abundance of miR-21 caused by low-quality imaging at the tumor site and the low efficiency of PDT. To address these issues, we developed theranostic Ce6-DNAzyme@ZIF-8@PEG nanoparticles (CDZP NPs) for breast cancer, which integrates dual-cycling signal amplification for miR-21 detection and enhanced PDT through GPX4-DNAzyme-mediated gene editing to inhibit reactive oxygen species (ROS) scavenging. The CDZP NPs are based on a dodecahedral metal-organic framework (MOF) ZIF-8, encapsulating a dual-cycling miR-21 imaging system and Ce6-DNAzyme therapeutic system via one-pot synthesis. CDZP NPs exhibit excellent biocompatibility, acid-responsive release behavior, and a high loading capacity. These properties enable the control release of Zn2+, Ce6, and dual-cycling signal magnification system for miR-21 detection and enhanced PDT. In vivo studies with tumor-bearing mice demonstrated that intravenous injection of CDZP NPs could effectively target tumors. The dual-cycling signal amplification system, comprising three hairpin probes (H1, H2, and H3), achieved a detection limit for miR-21 as low as 3.4 pM. Moreover, Zn2+-activated GPX4-DNAzyme significantly inhibited GPX4 protein expression, reducing ROS scavenging and further enhancing PDT efficiency with a high tumor inhibition rate of 72.3%. This proposed theranostic strategy holds promise for advancing precision theranostics in breast cancer treatment.",ACS nano,2025,downloaded,10.1021/acsnano.5c09287
40755136,Phage-augmented casein nanocarriers for targeted bioimaging and enhanced combinatorial therapy of triple-negative breast cancer.,"Cancer is a complex disease, and its development depends on multiple factors, so even after treatment with conventional modalities controlling (inhibiting or accelerating) one of the few factors would not be efficient in cancer mitigation, and the side effects with it are inevitable. One of the major side effects is damaged immune systems, rendering patients with increased chances of microbial infections. Candidiasis is the most common infection seen in surface cancers such as breast cancer. Clotrimazole (Cm) is a well-known antifungal drug, and recently it has been reported to exhibit anticancer activity against breast cancer. As combinatorial therapy has been proven to be highly effective in treating diseases, clotrimazole along with IR780 was encapsulated into phage (Φ)-modified casein nanocarriers (ΦCIRCm NCs). Then, their antifungal activity against Candida albicans was evaluated using spot assay, calcofluor white, and FDA/PI staining. In comparison to casein NCs (CIRCm NCs) the ΦCIRCm NCs showed significantly higher antifungal activity as the presence of phage significantly increased the encapsulation and photothermal transduction efficiency of IR780. Then, for targeted bioimaging and therapy, these NCs were further modified by GSH conjugation. During the conjugation step the presence of phage significantly prevented the loss of IR780 from the NCs. These NCs were evaluated for their theranostic efficiency using 4T1 cells and various in vitro assays. The GSH conjugated NCs (ΦCIRCm-G NCs) displayed significantly higher theranostic efficiency in 2D and 3D cell cultures compared to the control and treatment groups and induced cellular apoptosis by generating ROS and mitochondrial damage eventually causing cell death. Then, the specific targetability and therapeutic efficiency of NCs in the 4T1 breast cancer model were evaluated. The ΦCIRCm-G NCs were specifically accumulated in tumors when compared to ΦCIRCm NCs. Further the in vivo results of ΦCIRCm NCs also displayed significant antitumor efficiency and without causing any damage to the healthy tissues. The targeted NCs will provide new avenues to enhance the theranostic efficacy of various combinatorial therapeutic approaches for treating cancer and its associated health risks with minimal or no side effects.",Nanoscale,2025,downloaded,10.1039/d5nr01826a
40685755,Targeted Intracellular Copper Reservoir Enhances Liver Cancer Immunotherapy.,"Hepatocellular carcinoma (HCC) is commonly classified as a ""cold tumor"" due to its low immunogenicity and poor response to conventional immunotherapies. Reprogramming the tumor immune microenvironment (TIME) via cuproptosis presents a promising strategy to enhance immunotherapies. Herein, sono-activatable N,N,N',N'-tetrakis(2-pyridinylmethyl)-1,2-ethanediamine (TPEN)-encapsulated cancer-targeted nanoparticles (STCNs) designed to modulate the TIME and potentiate immunotherapy through endogenous cuproptosis are reported, termed ""endogenous cuproptosis immunopromotion"". STCNs are rapidly internalized by HCC via folate-mediated endocytosis, and ultrasound irradiation triggers the release of TPEN. TPEN then chelates Cu2⁺ from superoxide dismutase, initiating a Fenton-like reaction induced by glutathione that produces reactive oxygen species (ROS) and Cu⁺. This cascade induces cuproptosis and immunogenic cell death (ICD), promoting robust cytotoxic T lymphocyte infiltration in HCC. The combination of STCNs with anti-programmed cell death protein 1 (PD1) therapy demonstrates significant anti-tumor efficacy in vivo. Moreover, this strategy exhibits similar effectiveness in other solid tumor models, underscoring its broad therapeutic potential. These findings provide a promising framework for enhancing immunotherapy in cold tumors, paving the way for future cancer treatments.","Small (Weinheim an der Bergstrasse, Germany)",2025,downloaded,10.1002/smll.202502783
40669084,Cascade Energy Transformation in Hybrid Nanosensitizer Enables Ultrasound-Activated Luminescence Imaging and Enhanced Sonodynamic Therapy.,"Optical imaging plays a pivotal role in the diagnosis and management of cancer, yet conventional techniques often suffer from limitations such as tissue autofluorescence, insufficient imaging depth, and signal persistence. Here, we introduce a hybrid nanosensitizer, SPNs(SP1)@CoOOH, that leverages cascade energy transformation (ultrasonic → chemical → photonic energy) to enable ultrasound-activated luminescence imaging concomitant with enhanced sonodynamic therapy (SDT). By integrating semiconducting polymer nanoparticles (SPNs) with cobalt oxide hydroxide (CoOOH), our platform facilitates dual-pathway reactive oxygen species (ROS) generation under acidic and ultrasound costimulation. In this system, the ultrasound enhanced the chemodynamic effect of CoOOH to catalyze water into singlet oxygen, while ultrasound improves electron-hole separation within the SPNs, leading to efficient hydroxyl radical formation. This dual mechanism results in a 3.5-fold increase in ROS production relative to SPNs alone and triggers ROS-thiophene interactions that emit luminescence. Notably, the emitted luminescence correlates linearly with ROS levels and tumor inhibition rates, offering a robust method for a real-time monitoring therapeutic process. Furthermore, our modular design extends to other organic systems, including cyanine and porphyrin-based nanostructures, achieving up to 14.2-fold enhancements in ROS generation and 6.3-fold increases in luminescence intensity. By addressing the dual challenges of inefficient ROS production and real-time monitoring in SDT, our study lays the foundation for next-generation ultrasound-driven theranostics, paving the way for luminescence imaging-guided, personalized cancer therapy.",Journal of the American Chemical Society,2025,downloaded,10.1021/jacs.5c06434.s001
40623064,Fe-Polyphenol Self-Assembled Nanoplatform for Sonodynamic-Ferroptosis-Autophagy Inhibition Synergistic Tumor Therapy.,"Effective tumor treatment still faces tough challenges. Sonodynamic therapy (SDT) has gained recognition as a viable substitute for photodynamic therapy, providing enhanced tissue penetration and reduced skin damage by generating reactive oxygen species (ROS) via ultrasound-triggered sonosensitizers. Nonetheless, the therapeutic efficacy of SDT is often hindered by the intrinsic apoptosis resistance of cancer cells. Additionally, apoptosis-resistant cancer cells often exhibit susceptibility to ferroptosis, making the development of an iron enrichment ferroptosis strategy crucial for the combined apoptosis-ferroptosis antitumor therapy. However, tumor cells often counteract apoptosis and ferroptosis by upregulating autophagy; thus, interrupting the autophagic degradation process is vital for the enhancement of the therapeutic outcome. Accordingly, we designed a metal-organic synergistic nanotherapeutic platform (Fe-Rh@IAA NPs) by incorporating iron, rhein, and indole-3-acetic acid (IAA) to target apoptosis, ferroptosis, and autophagy inhibition. Following systemic administration, Fe-Rh@IAA NPs were preferentially gathered at the tumor location, leveraging the enhanced permeability and retention effect. When exposed to ultrasonic irradiation, Fe-Rh@IAA NPs induced apoptosis via SDT, while the Fe ions induced ferroptosis through ROS production and glutathione depletion. At the tumor microenvironment with high concentrations of H2O2, peroxidase-like activity of the nanoparticles converted IAA into the toxic molecule, 3-methylene-2-oxindole, which led to the suppression of autophagy activity and ultimately tumor cell death. In addition, Fe-Rh@IAA NPs could also provide magnetic resonance imaging capability, facilitating noninvasive real-time monitoring of material accumulation within tumor tissue. In vitro and in vivo studies demonstrated that Fe-Rh@IAA NPs exhibited excellent tumor-killing capabilities and favorable biosafety. This three-channel combined therapeutic strategy thus offers new insights and methodologies for tumor treatment.",ACS applied materials & interfaces,2025,downloaded,10.1021/acsami.5c09829.s001
40582643,Ultrasound-activated nanovesicles for adenosine exhaustion and immune checkpoint blockade in cancer immunotherapy.,"Conventional antitumor therapies induce immunogenic cell death (ICD), releasing large amounts of ATP that are rapidly converted into immunosuppressive adenosine within the tumor microenvironment (TME). This accumulation of adenosine promotes tumor immune evasion by inhibiting effector immune cells and upregulating inhibitory immune checkpoints. To overcome this challenge, we designed ultrasound (US)-activated nanovesicle system ADA/Ce6@tLipo which is composed of T cell membranes displaying multiple immune checkpoint molecules and a liposome encapsulating chlorin e6 (Ce6) and adenosine deaminase (ADA). Upon US exposure, these nanovesicles generate reactive oxygen species (ROS) to induce ICD and initiate an antitumor immune response. Concurrently, ADA converts adenosine, produced from ATP breakdown following ICD, into inosine, reversing adenosine-mediated immunosuppression and enhancing T cell activation. Furthermore, the immune checkpoint molecules displayed on the nanovesicles block immune checkpoint ligands on tumor cells, boosting T cell activity and preventing exhaustion. ADA/Ce6@tLipo reprograms the TME by modulating adenosine metabolism and inhibiting multiple immune checkpoints, thereby amplifying T cell-mediated antitumor immunity. This approach offers a promising strategy to enhance the efficacy of cancer immunotherapy.",Journal of controlled release : official journal of the Controlled Release Society,2025,downloaded,10.1016/j.jconrel.2025.113988
