pdf_filename,nanomaterial_types,nanomaterial_names,primary_nanomaterial,primary_nano_type,particle_size_nm,particle_size_range,zeta_potential_mV,pzc_value,tumor_types,primary_tumor_type,injection_methods,primary_injection_method,injection_dose_mg_kg,injection_frequency,ultrasound_frequency_MHz,ultrasound_power_W_cm2,treatment_time_min,treatment_sessions,ros_generation,cell_viability_percent,cell_death_percent,tumor_volume_mm3,has_size_data,has_zeta_data,has_ultrasound_data,has_ros_data,has_viability_data,has_volume_data,data_completeness_score
An ATP-responsive ZIF-based NIR fluorescence nanosystem for enhanced chemo-photodynamic therapy of tumors.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,22.90909090909091,,,,,,no,no,yes,no,no,no,1
Ultrasmall Barium Titanate Nanoparticles for Highly Efficient Hypoxic Tumor Therapy via Ultrasound Triggered Piezocatalysis and Water Splitting.pdf,"nanoparticle, nanorod, nanotube, nanocrystal","MnO2, RuS",MnO2,nanoparticle,,,,,,,"intravenous, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,10.0,,1.0,1.0,,,,,,,no,no,yes,no,no,no,1
A Triple-Responsive Polymeric Prodrug Nanoplatform with Extracellular ROS Consumption and Intracellular H2O2 Self-Generation for Imaging-Guided Tumor Chemo-Ferroptosis-Immunotherapy.pdf,"nanoparticle, nanocrystal","Fe2O3, AuS",Fe2O3,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,3.0,,,40.0,3.0,,,,,no,no,yes,no,no,no,1
Safe and Targeted Sonodynamic Cancer Therapy Using Biocompatible Exosome-Based Nanosonosensitizers.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,0.4142857142857143,81.45,,,90.0,10.0,,no,no,yes,no,yes,no,2
Ce6-DNAzyme-Loaded Metal-Organic Framework Theranostic Agents for Boosting miRNA Imaging-Guided Photodynamic Therapy in Breast Cancer..pdf,"nanoparticle, nanocrystal","AuS, AlN",AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, oral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,13.3,3.0,,0.4,12.307692307692308,,,,,,no,no,yes,no,no,no,1
Metal–Organic-Framework-Derived Carbon NanostructureAugmented Sonodynamic Cancer Therapy.pdf,,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,99.27272727272727,,,,,,no,no,yes,no,no,no,1
Cetuximab-Ag2S quantum dots for fluorescence imaging and highly effective combination of ALA-based photodynamic chemo-therapy of colorectal cancer cells.pdf,nanocrystal,,,nanocrystal,,,,,colon_cancer,colon_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,9.93939393939394,,,55.0,45.0,,no,no,yes,no,yes,no,2
Piezoelectric Metal–Organic Frameworks Based Sonosensitizer for Enhanced Nanozyme Catalytic and Sonodynamic Therapies.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,1.0,,5.0,,,,,,no,no,yes,no,no,no,1
Oxygen-Deficient BiOCl Combined withL-Buthionine-Sulfoximine Synergistically SuppressesTumor Growth through Enhanced Singlet OxygenGeneration under Ultrasound Irradiation.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,7.230769230769231,,2.5,,,,no,no,yes,yes,no,no,2
Chemiluminescence resonance energy transfer-based immunostimulatory  nanoparticles for sonoimmunotherapy.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,31.6,2.0,18.0,,19.11111111111111,,,,,,no,no,yes,no,no,no,1
