pdf_filename,primary_nanomaterial,primary_nano_type,particle_size_nm,zeta_potential_mV,injection_dose_mg_kg,ultrasound_frequency_MHz,ultrasound_power_W_cm2,treatment_time_min,cell_death_percent,tumor_volume_mm3,data_completeness_score
Ultrasmall Barium Titanate Nanoparticles for Highly Efficient Hypoxic Tumor Therapy via Ultrasound Triggered Piezocatalysis and Water Splitting.pdf,MnO2,nanoparticle,,,10.0,1.0,1.0,,,,1
A Triple-Responsive Polymeric Prodrug Nanoplatform with Extracellular ROS Consumption and Intracellular H2O2 Self-Generation for Imaging-Guided Tumor Chemo-Ferroptosis-Immunotherapy.pdf,Fe2O3,nanoparticle,,,,,,40.0,,,1
Ce6-DNAzyme-Loaded Metal-Organic Framework Theranostic Agents for Boosting miRNA Imaging-Guided Photodynamic Therapy in Breast Cancer..pdf,AuS,nanoparticle,,,13.3,,0.4,12.307692307692308,,,1
Chemiluminescence resonance energy transfer-based immunostimulatory  nanoparticles for sonoimmunotherapy.pdf,AuS,nanoparticle,,,31.6,18.0,,19.11111111111111,,,1
Synergistic Gas Therapy and Targeted InterventionalAblation With Size-Controllable Arsenic Sulﬁde (As 2 S3 )Nanoparticles for Eﬀective Elimination of Localized CancerPain.pdf,CuS,nanoparticle,,,,,,10.0,,,1
Laser-triggered aggregated cubic α-Fe2O3@Au nanocomposites for magnetic resonance imaging and photothermal enhanced radiation synergistic therapy.pdf,Fe2O3,nanoparticle,,,,,1.8999999999999997,8.5,,,1
Piezodynamic Therapy: Unleashing Mechanical Energy and Featuristic Next Generation Therapeutic Paradigms for Glioblastoma.pdf,CuS,nanocrystal,,,18.375,0.9708571428571428,1.3571428571428572,22.0,,,2
Coordination Self-Assembled AuTPyP-Cu Metal−Organic Framework Nanosheets with pH-Ultrasound Dual-Responsiveness for Synergistically Triggering Cuproptosis Augmented Chemotherapy.pdf,CuO,nanocrystal,,,10.0,1.0,1.2,17.916666666666668,,,1
Integration of Silica Nanorattles with Manganese-Doped In2S3 InOOH to Enable Ultrasound-Mediated Tumor Theranostics.pdf,SiO2,nanoparticle,,,11.25,1.0555555555555556,1.1428571428571428,14.904761904761905,,,1
Harnessing the Cancer Radiation Therapy by Lanthanide-Doped Zinc Oxide Based Theranostic Nanoparticles.pdf,ZnO,nanoparticle,,,,,,17.5,,,1
